,C&W-SSG-Engg&Proposals-Detail Engg
,Enviro-Sourcing
,C&H-Cooling-Dom Sales-West-Maharashtra
,Corporate Ser-EXIM-Exports-C&H-Heating
,C&H-Services-East-Heating
,C&H-Heating-FM&GS-FMG&Site Safety-FMG-Civil
,C&W-Chemical-PPG&OFC-Site Mgmt
,C&H-Services-West-Mumbai-Heating
,C&H-Cooling-Dom Sales-North
,"CSG-Category Management Global,E&I"
,C&H-Cooling-Quality-QA&Welding-QA
,Power-LPP-Engg-Solar
,C&H-Services-North-Sales-Steam Engg
,C&H-Cooling-Tech&Innov-Innovation-Engg Low Side
,C&W-WWS-Municipal&Lrg Projects-Oprtns-Project Mgmt
,CMG-North&West-Mumbai
,C&H-Heating-Product-Material-Shell
,C&H-Services-West-Sales-TCA
,Energy Rental-Oprtns-O&M
,RTIC-Technology Development Center
,C&H-Cooling-Tech Ser-North
,C&H-Cooling-Dom Sales-South
,C&W-SSG-Engg&Proposals-Proposals
,Power-MPP-Oprtns-Commissioning
,"C&W-WWS-IPG-Oprtns-Project Mgmt CIN,ETP,Filt"
,C&H-Heating-Product-Prdn-Shop Inputs Shell
,C&H-Heating-Project-Tech Ser-East
,"HR,IR,Admin-Admin-Corporate"
,Corporate HSE-Mfg Plants-C&H
,Enviro-Sourcing-Filters
,Enviro-Sourcing-Projects
,B&H-UOG-Oprtns-Procure
,Corporate Ser-EXIM-Log
,B&H-Services-QAC
,C&H-Cooling-Projects-Project Mgmt
,C&W-Chemical-Oprtns-Safety[Paudh]
,"C&H-Services-Engin-Propsl-North,South"
,C&H-Services-Oprtns-O&M
,C&W-Chemical-Oprtns
,Energy Rental-Oprtns-Fuel Supply
,C&H-Heating-Project-Sales Mktg&Prod Dev-South
,C&H-Heating-Global Innovation&Emerging Business-PLM
,RTIC-COE-Materl Science
,C&W-Chemical-Pulp&Paper
,C&H-Services-West
,C&H-Services-West-Sales-COBR
,C&W-WWS-Municipal&Lrg Projects-Oprtns-Engg
,C&H-Heating-Product-Sales Mktg&Prod Dev-West
,C&H-Heating-Product-Tech Ser-South
,Corporate Ser-EXIM-Corporate
,"HR,IR,Admin-IR-B&H-Savli"
,Power-LPP-Oprtns-Projects Execution
,C&W-SSG-PMS-Sales
,Power-MPP-Oprtns-Procure-Group1 Mechanical Packages
,C&H-Heating-Project-Savli Facility-Prdn-Shell
,"CMG-South&East-Orissa,Bihar&Jarkhand"
,C&W-Chemical-Oprtns-Factory Mgmt[Jhagadia]
,RTIC-Design&Engg-Advanced Controls
,Corporate Sourcing Group-Corporate
,C&H-Heating-Product-Solar-Tech Ser
,Corporate Finance-CWSS
,"CSG-Category Mgt-RM,Auctions,Logistics"
,C&H-Heating-FM&GS-FMG&Site Safety-FMG-Maint-Electrical
,CMG-North&West-UP+UT
,Power-LPP-Engg-Civil
,Power-MPP-Oprtns-Projects-Group2
,C&H-Services-Green Business&Solution-East&North
,C&H-Services-Green Business&Solution-West&South
,"HR,IR,Admin-HR-ROC"
,TIL-LPP-Quality Assurance&Control
,C&H-Services-Oprtns-O&M-North
,C&H-Services-Sales&Proposals
,C&H-Cooling-Oprtns-Procure-Store
,C&W-Chemical-Pulp&Paper-Sales-North
,"HR,IR,Admin-HR-C&W-WWS"
,Enviro-INO-QAC-Filters
,Corporate Ser-EXIM-B&H&other div-Shipments
,Enviro-EPC-P&E-Projects
,TIL-LPP-Engg-Commissioning
,C&W-SSG-Sales
,Energy Rental-Oprtns-O&M-Sites
,Power-MPP-Engg-Detail Engg
,TIL-MPP-Oprtns-Safety
,Enviro-Domestic Sales-South
,C&W-SSG-Sales-West
,C&W-Chemical-Pulp&Paper-Sales-South
,Power-MPP-Oprtns-Projects-Group3
,C&H-Corporate
,C&W-SSG-Sales-North
,C&H-Cooling-Process Cooling
,C&H-Services-West-Sales-Steam Engg
,C&H-Cooling-Dom Sales-West-Gujrat
,"HR,IR,Admin-Corporate"
,C&W-SSG-PMS-O&M-Ser-West
,Enviro-PRD-PEG-E&I
,B&H-UOG-Oprtns-Process Engg
,C&W-SSG-R&R-Oprtns-Project Mgmt-Execution
,RTIC-COE-Manufacturing Engineering
,Enviro-INO-CAE
,SolarCorporate-C&H-Sales&Mktng
,C&H-Services-Oprtns-Projects
,C&H-Services-Mktg & Prdt Dev
,Power-MPP-Oprtns-Projects-Group4
,C&H-Services-West -Ahmedabad-Cooling
,B&H-UOG-Oprtns-Projects
,TIL-SPP-EPC-Site
,C&H-Services-North-Sales-COBR
,RTIC-Design&Engg-Industrial Design
,C&W-WWS-Prdt-Materl&Assembly-Stores&Despatch
